Feedback,Category
Wrong color received and I need help.,Product
Gift wrapping available for order #82633.,General Inquiry
Checkout page not loading for my recent order.,Technical Support
Package not received on my first attempt.,Delivery
Password reset not working as soon as possible.,Technical Support
Can I change my address since yesterday.,General Inquiry
Cannot log in for my recent order.,Technical Support
Order still in transit for my recent order.,Delivery
Refund is delayed as soon as possible.,Billing
Invoice is incorrect every time I try.,Billing
Package not received since yesterday.,Delivery
Search feature not working for the last two days.,Technical Support
Courier delivered to wrong address on my first attempt.,Delivery
Courier delivered to wrong address for my recent order.,Delivery
Mobile app closes automatically please resolve this quickly.,Technical Support
Wrong size received for the last two days.,Product
I was charged twice please resolve this quickly.,Billing
Shipment delayed after the latest update.,Delivery
Product arrived broken for the last two days.,Product
App is slow for order #41348.,Technical Support
Shipment delayed on my first attempt.,Delivery
Delivery person never arrived as soon as possible.,Delivery
Button not working as soon as possible.,Product
Device overheats as soon as possible.,Product
Refund not received for order #51467.,Billing
I was charged twice since yesterday.,Billing
Can I cancel my order for my recent order.,General Inquiry
App is slow every time I try.,Technical Support
Package damaged during delivery for my recent order.,Delivery
I was charged twice on my first attempt.,Billing
Received after expected date for my recent order.,Delivery
Error message displayed for the last two days.,Technical Support
Mobile app closes automatically for order #24896.,Technical Support
Do you offer discounts as soon as possible.,General Inquiry
My payment failed for my recent order.,Billing
Button not working as soon as possible.,Product
App is slow and I need help.,Technical Support
Delivery person never arrived every time I try.,Delivery
Payment gateway error please resolve this quickly.,Billing
Checkout page not loading for the last two days.,Technical Support
Invoice is incorrect after the latest update.,Billing
Website keeps crashing every time I try.,Technical Support
Do you offer discounts after the latest update.,General Inquiry
My payment failed and I need help.,Billing
Cannot update payment method please resolve this quickly.,Billing
Can I cancel my order as soon as possible.,General Inquiry
Gift wrapping available for my recent order.,General Inquiry
What are your business hours every time I try.,General Inquiry
Application freezes for my recent order.,Technical Support
How can I contact support please resolve this quickly.,General Inquiry
Order still in transit for order #72021.,Delivery
Unexpected billing amount for order #96752.,Billing
App is slow after the latest update.,Technical Support
